# Compile of async_fifo.sv was successful.
# Compile of driver.sv was successful.
# Compile of environment.sv was successful.
# Compile of generator.sv was successful.
# Compile of interface.sv was successful.
# Compile of monitor_in.sv was successful.
# Compile of monitor_out.sv was successful.
# Compile of scoreboard.sv was successful.
# Compile of top.sv was successful.
# Compile of test.sv was successful.
# Compile of tb_pkg.sv was successful.
# 11 compiles, 0 failed with no errors.
vsim work.testbench_top -voptargs=+acc
# vsim work.testbench_top -voptargs="+acc" 
# Start time: 22:41:09 on May 02,2025
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.tb_pkg(fast)
# Loading work.top_sv_unit(fast)
# Loading work.testbench_top(fast)
# Loading work.intf(fast__2)
# Loading work.async_fifo(fast)
# Loading work.intf(fast)
add wave -position insertpoint  \
# [1255000] Transaction: WR=1 DATA=0x0000009c | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1258000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1261000] Transaction: WR=1 DATA=0x0000009d | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1262000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1263000] Transaction: WR=1 DATA=0x0000009d | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1266000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1269000] Transaction: WR=1 DATA=0x0000009e | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1270000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1271000] Transaction: WR=1 DATA=0x0000009e | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1274000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1277000] Transaction: WR=1 DATA=0x0000009f | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1278000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1279000] Transaction: WR=1 DATA=0x0000009f | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1282000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1285000] Transaction: WR=1 DATA=0x000000a0 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1286000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1287000] Transaction: WR=1 DATA=0x000000a0 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1290000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1293000] Transaction: WR=1 DATA=0x000000a1 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1294000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1295000] Transaction: WR=1 DATA=0x000000a1 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1298000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1301000] Transaction: WR=1 DATA=0x000000a2 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1302000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1303000] Transaction: WR=1 DATA=0x000000a2 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1306000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1309000] Transaction: WR=1 DATA=0x000000a3 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1310000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1311000] Transaction: WR=1 DATA=0x000000a3 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1314000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1317000] Transaction: WR=1 DATA=0x000000a4 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1318000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1319000] Transaction: WR=1 DATA=0x000000a4 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1322000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1325000] Transaction: WR=1 DATA=0x000000a5 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1326000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1327000] Transaction: WR=1 DATA=0x000000a5 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1330000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1333000] Transaction: WR=1 DATA=0x000000a6 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1334000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1335000] Transaction: WR=1 DATA=0x000000a6 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1338000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1341000] Transaction: WR=1 DATA=0x000000a7 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1342000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1343000] Transaction: WR=1 DATA=0x000000a7 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1346000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1349000] Transaction: WR=1 DATA=0x000000a8 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1350000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1351000] Transaction: WR=1 DATA=0x000000a8 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1354000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1357000] Transaction: WR=1 DATA=0x000000a9 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1358000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1359000] Transaction: WR=1 DATA=0x000000a9 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1362000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1365000] Transaction: WR=1 DATA=0x000000aa | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1366000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1367000] Transaction: WR=1 DATA=0x000000aa | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1370000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1373000] Transaction: WR=1 DATA=0x000000ab | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1374000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1375000] Transaction: WR=1 DATA=0x000000ab | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1378000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1381000] Transaction: WR=1 DATA=0x000000ac | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1382000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1383000] Transaction: WR=1 DATA=0x000000ac | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1386000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1389000] Transaction: WR=1 DATA=0x000000ad | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1390000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1391000] Transaction: WR=1 DATA=0x000000ad | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1394000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1397000] Transaction: WR=1 DATA=0x000000ae | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1398000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1399000] Transaction: WR=1 DATA=0x000000ae | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1402000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1405000] Transaction: WR=1 DATA=0x000000af | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1406000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1407000] Transaction: WR=1 DATA=0x000000af | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1410000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1413000] Transaction: WR=1 DATA=0x000000b0 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1414000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1415000] Transaction: WR=1 DATA=0x000000b0 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1418000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1421000] Transaction: WR=1 DATA=0x000000b1 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1422000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1423000] Transaction: WR=1 DATA=0x000000b1 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1426000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1429000] Transaction: WR=1 DATA=0x000000b2 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1430000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1431000] Transaction: WR=1 DATA=0x000000b2 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1434000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1437000] Transaction: WR=1 DATA=0x000000b3 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1438000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1439000] Transaction: WR=1 DATA=0x000000b3 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1442000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1445000] Transaction: WR=1 DATA=0x000000b4 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1446000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1447000] Transaction: WR=1 DATA=0x000000b4 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1450000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1453000] Transaction: WR=1 DATA=0x000000b5 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1454000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1455000] Transaction: WR=1 DATA=0x000000b5 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1458000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1461000] Transaction: WR=1 DATA=0x000000b6 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1462000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1463000] Transaction: WR=1 DATA=0x000000b6 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1466000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1469000] Transaction: WR=1 DATA=0x000000b7 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1470000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1471000] Transaction: WR=1 DATA=0x000000b7 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1474000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1477000] Transaction: WR=1 DATA=0x000000b8 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1478000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1479000] Transaction: WR=1 DATA=0x000000b8 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1482000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1485000] Transaction: WR=1 DATA=0x000000b9 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1486000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1487000] Transaction: WR=1 DATA=0x000000b9 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1490000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1493000] Transaction: WR=1 DATA=0x000000ba | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1494000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1495000] Transaction: WR=1 DATA=0x000000ba | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1498000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1501000] Transaction: WR=1 DATA=0x000000bb | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1502000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1503000] Transaction: WR=1 DATA=0x000000bb | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1506000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1509000] Transaction: WR=1 DATA=0x000000bc | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1510000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1511000] Transaction: WR=1 DATA=0x000000bc | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1514000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1517000] Transaction: WR=1 DATA=0x000000bd | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1518000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1519000] Transaction: WR=1 DATA=0x000000bd | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1522000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1525000] Transaction: WR=1 DATA=0x000000be | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1526000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1527000] Transaction: WR=1 DATA=0x000000be | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1530000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1533000] Transaction: WR=1 DATA=0x000000bf | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1534000] READ | DATA: 0x00000000 | STATUS: EMPTY=0 HALF_EMPTY=0
# [1535000] Transaction: WR=1 DATA=0x000000bf | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# 
# === GENERATOR: Completed 256 write / read operations) ===
# [1541000] Transaction: WR=1 DATA=0x000000c0 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1543000] Transaction: WR=1 DATA=0x000000c0 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1549000] Transaction: WR=1 DATA=0x000000c1 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1551000] Transaction: WR=1 DATA=0x000000c1 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1557000] Transaction: WR=1 DATA=0x000000c2 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1559000] Transaction: WR=1 DATA=0x000000c2 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1565000] Transaction: WR=1 DATA=0x000000c3 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1567000] Transaction: WR=1 DATA=0x000000c3 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1573000] Transaction: WR=1 DATA=0x000000c4 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1575000] Transaction: WR=1 DATA=0x000000c4 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1581000] Transaction: WR=1 DATA=0x000000c5 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1583000] Transaction: WR=1 DATA=0x000000c5 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1589000] Transaction: WR=1 DATA=0x000000c6 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1591000] Transaction: WR=1 DATA=0x000000c6 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1597000] Transaction: WR=1 DATA=0x000000c7 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1599000] Transaction: WR=1 DATA=0x000000c7 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1605000] Transaction: WR=1 DATA=0x000000c8 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1607000] Transaction: WR=1 DATA=0x000000c8 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1613000] Transaction: WR=1 DATA=0x000000c9 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# [1615000] Transaction: WR=1 DATA=0x000000c9 | RD=0 DATA=0x00000000| FULL=1 HF=1 EMPTY=0 HE=0
# =====================================================
# TEST PASSED: All data matched.
# ** Note: $finish    : environment.sv(58)
#    Time: 1618 ns  Iteration: 1  Instance: /testbench_top
# 1
# Break in Task top_sv_unit/environment::run at environment.sv line 58
# A time value could not be extracted from the current line
quit -sim
# End time: 22:44:59 on May 02,2025, Elapsed time: 0:03:50
# Errors: 0, Warnings: 2
